territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",exploitation and abetting prostitution,PROSTI,3.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",sexual violence,RAPE,10.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",sexual activity with a minor,RAPEUN18,1.80
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",receiving stolen goods,RECEIV,36.70
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides from road accident,ROADHOM,4.70
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",robberies,ROBBER,45.90
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides for theft or robbery,ROBBHOM,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",shop robbery,SHOPROB,8.30
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",shoplifting,SHOPTHEF,162.90
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",smuggling,SMUGGL,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",street robbery,STREETROB,18.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",swindles and cyber frauds,SWINCYB,153.10
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",terrorist homicides,TERRORHOM,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",thefts,THEFT,2426.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",total,TOT,5092.70
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of cargo trucks carrying freights,TRUCKTHEF,3.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",unintentional homicides,UNINTHOM,5.10
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",usury,USURY,0.60
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft from vehicle,VEHITHEF,477.50
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",arson,ARSON,9.50
